state,state_name,county,mentally_unhealthy_days,physically_unhealthy_days,pct_frequent_mental_distress,pct_excessive_drinking,injury_death_rate,age_adjusted_mortality,pct_frequent_physical_distress,pct_smokers,pct_insufficient_sleep,preventable_hospitalization_rate,pct_some_college,pct_fair_or_poor_health,pct_unemployed,length_of_life_pctile_within_state,median_household_income,pct_physically_inactive,length_of_life_quartile_within_state,pct_children_in_poverty,income_20th_percentile,pct_children_eligible_free_lunch,pct_diabetic,drug_overdose_mortality_rate
NY,New York,Saratoga,3.3,2.9,9.4,20.7,37.64232373,247.2,8.2,13.7,33.4,49.17,76.86242961,9.8,4.648043339,10.0,71885.0,22.8,1.0,9.6,31603.0,15.00581968,7.9,8.197710901
NY,New York,Schenectady,3.6,3.3,10.5,18.3,43.00703094,323.6,9.7,15.3,35.9,43.96,64.24612983,12.1,5.376471051,80.0,56508.0,22.9,4.0,20.9,22447.0,38.07821424,8.9,8.151148025
NY,New York,Schoharie,3.5,3.3,10.4,19.0,43.19761056,281.3,9.5,14.8,33.0,68.84,58.00608607,11.6,6.648347966,41.0,48718.0,25.7,2.0,21.5,21810.0,33.58761499,9.1,11.65968151891071
NY,New York,Schuyler,3.6,3.4,10.6,18.1,59.73326383,318.8,9.8,15.0,33.7,88.49,57.98464967,12.0,6.92469107,33.0,48135.0,27.1,2.0,23.9,22115.0,35.50295858,9.4,11.65968151891071
NY,New York,Seneca,3.5,3.4,10.6,18.9,59.50727972,313.5,9.9,15.4,34.5,64.07,58.67430442,12.7,5.651894669,57.0,49809.0,25.3,3.0,21.1,20474.0,30.95757576,9.0,12.31083922
NY,New York,Steuben,3.5,3.3,10.8,18.6,54.78233623,324.6,9.9,16.3,31.6,55.5,60.89302162,12.2,6.921634626,60.0,46849.0,23.3,3.0,24.1,20222.0,33.36153045,9.4,9.456041228
NY,New York,Suffolk,3.2,3.1,9.3,18.5,54.83805791,268.0,8.8,13.7,37.4,59.4,64.80149945,12.4,5.320518422,17.0,73077.0,21.9,1.0,10.4,33406.75,23.40804572,9.0,18.28084938
NY,New York,Sullivan,3.8,3.8,11.3,17.2,70.80756941,397.5,11.0,15.9,35.8,55.4,52.37963475,15.2,6.678071912999999,99.0,48908.0,22.8,4.0,25.8,19190.0,43.58870148,10.5,23.53956609
NY,New York,Tioga,3.4,3.1,10.2,18.7,50.36891294,299.4,9.1,14.2,33.7,55.2,61.67381208,10.8,6.099945908,75.0,52195.0,26.6,3.0,18.0,23016.0,32.95908184,9.0,13.94505648
NY,New York,Tompkins,3.6,3.5,11.0,19.5,45.20946072,269.4,10.4,15.1,34.6,29.86,81.13496281,12.9,4.322603078,13.0,51880.0,25.3,1.0,17.2,18806.0,29.02252971,6.9,11.90238756
NY,New York,Ulster,3.4,3.3,10.4,17.8,50.8585539,298.6,9.6,14.3,35.6,60.99,63.85830429999999,12.9,5.775682292000001,34.0,56718.0,19.2,2.0,17.3,23699.0,29.04468413,9.1,13.06987412
NY,New York,Warren,3.5,3.2,10.3,18.8,43.27856462,290.4,9.3,14.2,33.4,46.24,64.99557251,11.3,6.506636894,23.0,54585.0,21.0,1.0,20.5,23934.0,27.80273855,9.0,8.680200972
NY,New York,Washington,3.5,3.3,10.4,19.0,57.6889551,325.6,9.5,15.4,34.7,51.97,48.53130636,12.2,6.04075945,59.0,47547.0,24.1,3.0,20.4,22558.0,32.98980497,8.9,6.90024894
NY,New York,Wayne,3.5,3.3,10.4,19.1,53.61516323,302.5,9.6,15.0,34.7,69.22,60.60276306,12.1,6.154259607999999,39.0,49191.0,26.3,2.0,18.4,24341.0,31.336342499999997,9.1,5.766056666
NY,New York,Westchester,3.3,3.3,9.8,18.0,34.58386902,221.6,9.5,11.1,37.7,49.29,69.99347848,12.9,5.1235764889999995,2.0,73077.0,19.7,1.0,13.3,31556.0,28.405112100000004,9.5,10.16153044
NY,New York,Wyoming,3.4,3.2,10.1,20.1,52.44138483,300.3,9.4,15.3,35.1,63.76,50.99884578,12.1,6.512411059,36.0,53783.0,24.3,2.0,16.9,23630.0,25.61124694,8.5,8.82747109
NY,New York,Yates,3.7,3.5,11.2,18.1,51.34078433,287.2,10.3,15.8,33.0,56.8,46.77386935,13.1,5.576972501,44.0,48368.0,23.7,2.0,23.7,21905.0,41.20490889,9.6,11.65968151891071
NC,North Carolina,Alamance,4.0,3.8,12.0,14.2,59.92075251,388.1,11.7,18.9,33.2,39.89,57.71787101,18.1,5.60231802,45.0,41296.0,25.6,2.0,24.4,18479.0,48.36519639,11.0,13.14400224
NC,North Carolina,Alexander,3.7,3.7,11.3,14.9,84.26920771,379.3,11.2,19.1,29.3,57.96,45.15955153,15.7,5.543573302,44.0,43043.0,26.0,2.0,22.9,17428.0,44.95634405,10.5,16.19069035
NC,North Carolina,Alleghany,3.9,4.0,12.1,13.5,94.20631182,338.4,12.4,18.6,29.8,67.53,45.2240833,18.7,6.7418315689999995,14.0,35266.0,32.6,1.0,34.2,15004.0,56.60377359,12.4,16.073753178079997
NC,North Carolina,Anson,4.2,4.6,13.4,12.8,77.45176184,490.5,14.5,24.0,37.9,48.94,41.64513351,24.5,6.995581737999999,90.0,32508.0,30.1,4.0,35.9,14190.0,70.98630137,14.4,16.073753178079997
NC,North Carolina,Ashe,3.9,3.9,11.8,13.6,83.20080108,379.7,11.9,18.3,29.9,67.58,50.53462741,17.7,6.766856215,73.0,36488.0,26.8,3.0,31.2,15641.0,49.26605505,11.5,22.1200875
NC,North Carolina,Avery,3.8,3.9,11.6,15.1,80.09747073,370.2,11.9,19.2,30.2,84.73,56.699486300000004,17.7,6.350249803,20.0,37131.0,24.4,1.0,31.7,17351.0,50.43550394,10.6,16.073753178079997
NC,North Carolina,Beaufort,3.8,4.0,12.0,12.9,85.74815263,408.0,12.2,18.1,32.3,49.25,54.69036808,18.8,7.173781716000001,76.0,40357.0,29.3,4.0,28.8,15223.0,56.75350701,13.2,16.83548921
NC,North Carolina,Bertie,4.2,4.7,13.7,11.6,75.69297397,424.5,14.8,22.6,38.6,66.82,39.72515856,25.2,7.811759127999999,68.0,31217.0,32.7,3.0,38.9,12793.0,77.33902526,16.7,16.073753178079997
NC,North Carolina,Bladen,4.4,4.8,13.9,12.1,95.57712559,455.6,15.1,23.2,38.4,77.73,54.84992915,24.2,9.178438400000001,89.0,33521.0,32.6,4.0,35.8,12122.0,68.09980806,15.0,22.98520328
NC,North Carolina,Brunswick,3.7,4.0,11.3,14.8,85.32066957,361.6,11.5,16.8,30.1,51.29,59.99915619,16.8,7.550679603,62.0,47387.0,20.5,3.0,30.0,19976.0,36.0914165,12.0,25.11590847
NC,North Carolina,Buncombe,3.6,3.7,11.1,15.6,74.88696619,332.2,10.8,18.8,28.7,36.19,69.89025118,16.3,4.565294326,18.0,47296.0,20.5,1.0,20.5,19967.0,46.12604987,9.8,13.05621846
