Model and feature tuning leaderboard (scorer=RMSE):
+-------------+-----------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+--------------+--------------------+----------------------------+----------------+----------+---------------+-------------+----------------+-------------+--------------+--------------------+----------+-------------+---------------+----------+-------------+------------------+------------+------------------------+----------------------------+----------------+--------------+----------+-----------------+-------------+--------------+--------------+--------------+-----------+----------+--------+
|   job order | booster   |   colsample_bytree | debug_verbose   | early_stopping_rounds   | early_stopping_threshold   | eval_metric   |   gamma | gpu_id   | grow_policy   | learning_rate   |   max_bin |   max_delta_step |   max_depth |   max_leaves | min_child_weight   | monotonicity_constraints   | n_estimators   | n_gpus   | num_classes   | objective   | random_state   |   reg_alpha |   reg_lambda |   scale_pos_weight | silent   |   subsample | tree_method   |   scores |   scores_sd |   training_times |   rel_time |   optimal_n_estimators |   rel_optimal_n_estimators |   ngenes_start |   ngenes_max |   ngenes |   nfeatures_max |   nfeatures | job status   |   rel_scores |   complexity |   z-score | isbest   | good   |
|          14 | gbtree    |               0.8  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | lossguide     | 0.05            |        64 |                0 |           0 |           64 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          0.1 |                  1 | True     |         1   | hist          |  5.1658  |    0.323368 |         11.3624  |  0.030388  |                     64 |                   0.435374 |            102 |       209093 |       91 |          209093 |          91 | PASSED       |     0.983422 |     2535.62  | 0.268151  |          | +      |
|          21 | gbtree    |               0.3  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | lossguide     | 0.05            |        64 |                0 |           0 |           16 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         1   |          0   |                  1 | True     |         0.7 | hist          |  5.16717 |    0.3382   |         11.3922  |  0.0304677 |                     93 |                   0.632653 |            102 |       209093 |      264 |          209093 |         308 | PASSED       |     0.983161 |     2672.33  | 0.272455  |          | +      |
|          24 | gbtree    |               0.45 | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | lossguide     | 0.05            |        64 |                0 |           0 |          256 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          0.5 |                  1 | True     |         0.4 | hist          |  5.16775 |    0.287124 |         68.6922  |  0.183713  |                     68 |                   0.462585 |            102 |       209093 |      270 |          209093 |         317 | PASSED       |     0.98305  |    31973.9   | 0.274269  |          | +      |
|          11 | gbtree    |               0.55 | 0               | 20                      | 0.001                      | rmse          |   0.1   | 0        | depthwise     | 0.1             |       256 |                0 |           8 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          5   |                  1 | True     |         0.7 | hist          |  5.17064 |    0.30441  |         16.8138  |  0.0449675 |                     52 |                   0.353741 |            102 |       209093 |       96 |          209093 |          97 | PASSED       |     0.982501 |     6147.27  | 0.283316  |          | +      |
|          19 | gbtree    |               0.6  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       128 |                0 |           6 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          2   |                  1 | True     |         0.9 | hist          |  5.17199 |    0.299338 |         23.4995  |  0.062848  |                     45 |                   0.306122 |            102 |       209093 |      253 |          209093 |         295 | PASSED       |     0.982245 |     6829.58  | 0.28754   |          | +      |
|          29 | gbtree    |               0.35 | 0               | 20                      | 0.001                      | rmse          |   0.1   | 0        | depthwise     | 0.1             |       256 |                0 |           9 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          2   |                  1 | True     |         0.7 | hist          |  5.17762 |    0.308938 |         62.2436  |  0.166467  |                     51 |                   0.346939 |            102 |       209093 |      257 |          209093 |         301 | PASSED       |     0.981176 |    21666.7   | 0.305187  |          | +      |
|          34 | gbtree    |               0.5  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |           9 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          0.1 |                  1 | True     |         0.9 | hist          |  5.18118 |    0.30501  |         87.8487  |  0.234946  |                     49 |                   0.333333 |            102 |       209093 |      247 |          209093 |         286 | PASSED       |     0.980501 |    20007     | 0.316339  |          | +      |
|          33 | gbtree    |               0.5  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | lossguide     | 0.1             |        64 |                0 |           0 |          512 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         1   | hist          |  5.18303 |    0.291059 |        111.029   |  0.296941  |                     60 |                   0.408163 |            102 |       209093 |      249 |          209093 |         282 | PASSED       |     0.980152 |    52035.9   | 0.322117  |          | +      |
|          20 | gbtree    |               0.3  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | lossguide     | 0.05            |       128 |                0 |           0 |           64 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          0.1 |                  1 | True     |         0.5 | hist          |  5.18742 |    0.288064 |         30.391   |  0.0812788 |                     80 |                   0.544218 |            102 |       209093 |      270 |          209093 |         321 | PASSED       |     0.979323 |     9404.08  | 0.335853  |          | +      |
|          22 | gbtree    |               0.2  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       128 |                0 |           5 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.5 | hist          |  5.19689 |    0.290085 |         10.3688  |  0.0277308 |                     41 |                   0.278912 |            102 |       209093 |      264 |          209093 |         307 | PASSED       |     0.977539 |     4116.19  | 0.365505  |          | +      |
|          32 | gbtree    |               0.3  | 0               | 20                      | 0.001                      | rmse          |   0.1   | 0        | depthwise     | 0.1             |       128 |                0 |           7 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.8 | hist          |  5.20011 |    0.298435 |         23.8168  |  0.0636965 |                     44 |                   0.29932  |            102 |       209093 |      265 |          209093 |         310 | PASSED       |     0.976933 |    10283.2   | 0.375589  |          | +      |
|          15 | gbtree    |               0.35 | 0               | 20                      | 0.001                      | rmse          |   0.01  | 0        | lossguide     | 0.1             |        64 |                0 |           0 |           32 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.9 | hist          |  5.20233 |    0.333199 |          5.82305 |  0.0155734 |                     54 |                   0.367347 |            102 |       209093 |       99 |          209093 |         100 | PASSED       |     0.976515 |     1163.76  | 0.382565  |          | +      |
|          39 | gbtree    |               0.45 | 0               | 20                      | 0.001                      | rmse          |   0.1   | 0        | lossguide     | 0.1             |       256 |                0 |           0 |         1024 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          5   |                  1 | True     |         0.7 | hist          |  5.20666 |    0.315956 |        204.957   |  0.548145  |                     62 |                   0.421769 |            102 |       209092 |      251 |          209092 |         291 | PASSED       |     0.975704 |   108405     | 0.396102  |          | +      |
|          18 | gbtree    |               0.8  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | lossguide     | 0.1             |       256 |                0 |           0 |           64 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          5   |                  1 | True     |         0.8 | hist          |  5.21462 |    0.322811 |         44.4887  |  0.118982  |                     40 |                   0.272109 |            102 |       209093 |      244 |          209093 |         277 | PASSED       |     0.974214 |     4249.25  | 0.42104   |          | +      |
|          40 | gbtree    |               0.9  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |          10 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          1   |                  1 | True     |         0.5 | hist          |  5.22149 |    0.295529 |         83.2249  |  0.22258   |                     42 |                   0.285714 |            102 |       209092 |      247 |          209092 |         280 | PASSED       |     0.972932 |    22316.6   | 0.442558  |          | +      |
|          37 | gbtree    |               0.2  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | lossguide     | 0.1             |        64 |                0 |           0 |         1024 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0.5 |          0   |                  1 | True     |         0.7 | hist          |  5.2775  |    0.324893 |         29.0285  |  0.0776348 |                     51 |                   0.346939 |            102 |       209092 |      253 |          209092 |         293 | PASSED       |     0.962607 |    89882.1   | 0.617923  |          |        |
|          36 | gbtree    |               0.8  | 0               | 20                      | 0.001                      | rmse          |   1     | 0        | lossguide     | 0.1             |       256 |                0 |           0 |         1024 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          5   |                  1 | True     |         1   | hist          |  5.27908 |    0.326982 |        304.015   |  0.81307   |                     44 |                   0.29932  |            102 |       209092 |      225 |          209092 |         258 | PASSED       |     0.962319 |    68963.3   | 0.622867  |          |        |
|          31 | gbtree    |               0.65 | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | lossguide     | 0.1             |        64 |                0 |           0 |           64 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          0.1 |                  1 | True     |         0.5 | hist          |  5.29348 |    0.320029 |         18.2297  |  0.0487542 |                     32 |                   0.217687 |            102 |       209093 |      261 |          209093 |         307 | PASSED       |     0.959701 |     3636.24  | 0.667965  |          |        |
|          35 | gbtree    |               0.7  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | depthwise     | 0.1             |       256 |                0 |          10 |            0 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          0.1 |                  1 | True     |         1   | hist          |  5.30822 |    0.299267 |        127.064   |  0.339823  |                     40 |                   0.272109 |            102 |       209092 |      236 |          209092 |         267 | PASSED       |     0.957036 |    20307.4   | 0.714117  |          |        |
|          13 | gbtree    |               0.2  | 0               | 20                      | 0.001                      | rmse          |   0     | 0        | lossguide     | 0.1             |        64 |                0 |           0 |           16 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          0.5 |                  1 | True     |         0.6 | hist          |  5.33854 |    0.313229 |          4.19754 |  0.011226  |                     58 |                   0.394558 |            102 |       209093 |      100 |          209093 |         101 | PASSED       |     0.951601 |      631.293 | 0.80904   |          |        |
|           9 | gbtree    |               0.9  | 0               | 20                      | 0.001                      | rmse          |   0.01  | 0        | lossguide     | 0.1             |       128 |                0 |           0 |          512 | 1                  | False                      | 600            | 0        | 1             | reg:linear  | 194578974      |         0   |          0.1 |                  1 | True     |         0.9 | hist          |  5.35006 |    0.306359 |         36.2217  |  0.0968726 |                     22 |                   0.14966  |            102 |       209093 |       68 |          209093 |          68 | PASSED       |     0.949551 |     5210.56  | 0.845143  |          |        |
+-------------+-----------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+--------------+--------------------+----------------------------+----------------+----------+---------------+-------------+----------------+-------------+--------------+--------------------+----------+-------------+---------------+----------+-------------+------------------+------------+------------------------+----------------------------+----------------+--------------+----------+-----------------+-------------+--------------+--------------+--------------+-----------+----------+--------+
