AR,4.3,4.8,13.4,13.8,93.58914366,431.2,14.5,22.5,35.4,86.75,47.91580685,22.6,5.186493048,15.0,33202.0,31.1,1.0,37.0,15051.0,56.39938319,12.6,13.681159087148151
NE,2.9,3.2,8.4,19.2,64.1380073,337.7,9.5,19.8,28.8,65.24,66.96470042,13.7,3.242131899,75.0,49770.0,25.3,3.0,18.6,21694.0,29.18038468,9.4,11.1147131
PA,3.8,3.4,11.0,18.3,71.13306684,377.4,9.8,18.3,34.9,61.29,53.68478163,12.2,5.149750416,81.0,54920.0,28.9,4.0,14.5,27929.0,30.35402445,9.7,12.41809536
KS,3.2,3.3,9.9,14.6,71.63236812,385.2,10.2,18.9,31.0,86.36,64.08061844,14.3,7.24143278,41.0,41527.0,29.0,2.0,25.7,18773.0,51.19597147,11.1,14.596716772
CA,3.3,3.4,9.8,19.5,36.07370965,218.6,9.9,11.1,30.8,34.57,66.51805618,12.6,5.486270045,9.0,73077.0,15.4,1.0,17.9,31454.0,41.52534299,8.8,11.22993451
NH,3.3,3.0,9.8,19.6,57.67995669,284.7,8.9,16.3,28.5,44.98,67.83954155,10.5,3.808714082,40.0,62429.0,19.7,2.0,13.2,28331.0,21.21459973,8.5,16.10777234
UT,3.0,3.2,8.6,10.4,49.93075157,244.9,8.7,8.2,30.8,26.33,77.05569849,10.0,3.559955967,20.0,70797.0,16.3,1.0,8.3,33406.75,30.84144097,6.5,15.605702800000001
NJ,3.1,2.9,9.1,16.8,36.287999799999994,252.9,8.8,11.7,39.0,56.78,72.02509549,13.7,6.002610434,24.0,73077.0,24.4,1.0,10.8,33406.75,26.10080037,9.4,11.69493344
IA,2.7,2.8,8.2,20.5,67.92291719,290.3,8.5,15.8,28.2,54.68,63.77696378,11.4,5.136201046,24.0,51558.0,23.9,1.0,14.0,25757.0,29.77733466,9.6,10.118499173200002
TX,3.3,3.8,10.6,15.0,68.4909168,400.3,11.9,15.9,32.6,74.8,48.76914131,19.6,6.169465053,64.0,41849.0,27.2,3.0,28.6,16110.0,57.70972612,13.2,11.442085291963853
OH,4.0,3.7,12.3,18.8,63.19421714,395.4,11.5,19.6,33.9,51.0,68.84807949,15.5,5.337823793,70.0,48973.0,23.2,3.0,24.4,17915.0,41.09410163,11.6,28.1370419
IA,2.9,3.0,8.7,18.5,82.21881166,382.2,9.0,17.1,28.7,91.0,62.48266297,12.5,4.063097514,67.0,54154.0,27.9,3.0,17.0,22831.0,36.33587786,10.3,10.118499173200002
MO,3.6,3.9,10.8,15.9,60.71211742,367.5,11.1,18.4,29.4,76.65,56.71641791,14.4,5.453917846,20.0,45997.0,33.5,1.0,17.2,20298.0,43.13209109990292,11.1,18.139326690259615
OH,3.7,3.5,11.0,17.7,51.56399445,307.8,10.2,17.5,34.6,63.52,65.83751894,14.6,5.0448116039999995,14.0,59921.0,27.2,1.0,13.9,25518.0,30.60033465,10.4,13.20731909
GA,3.5,3.4,10.3,17.3,52.89701647,313.5,10.0,14.9,36.3,71.87,60.10737146,13.8,6.213167649,6.0,63964.0,26.4,1.0,15.6,29637.0,34.2126552,9.0,16.56316579
NE,2.9,2.8,8.5,18.2,100.65723249999999,309.1,8.6,18.3,26.6,56.87,75.75264443,13.2,4.346629986,12.0,49345.0,35.3,1.0,15.8,19776.0,30.68651778,10.5,8.6455494848
VA,3.5,3.5,10.5,14.2,83.81777254,406.8,10.6,18.9,36.9,49.49,55.61893896,17.0,6.298901966,56.0,44207.0,29.9,3.0,20.1,18195.0,44.48501772,12.5,12.25908238
NE,2.6,2.7,7.9,20.9,39.62226771,283.5,8.1,15.3,26.7,51.0,76.05413847,10.9,2.947238252,38.0,62191.0,22.6,2.0,9.6,26782.0,21.857233100000002,8.8,8.6455494848
TX,3.1,3.6,9.5,18.2,51.69249856,321.2,11.1,13.5,32.2,67.12,53.03356669,19.6,4.825956996,21.0,53440.0,27.5,1.0,21.9,22270.0,49.36979061,12.5,11.442085291963853
GA,4.2,4.3,13.0,13.9,66.07962223,522.7,13.3,18.4,39.0,52.98,53.0382228,19.9,9.187655197,88.0,34867.0,30.2,4.0,41.0,15511.0,64.38668491,13.8,23.9138096
